,Unnamed: 0,layer,accuracy,precision,recall,f1-score,epoche,model,task,id
84,7.0,0,0.3186889818688982,0.3186889818688982,0.3186889818688982,0.3186889818688982,900000,t5-large,tree depth,
85,8.0,1,0.3206648070664807,0.3206648070664807,0.3206648070664807,0.3206648070664807,900000,t5-large,tree depth,
86,9.0,2,0.3272896327289633,0.3272896327289633,0.3272896327289633,0.3272896327289633,900000,t5-large,tree depth,
87,10.0,3,0.3410041841004184,0.3410041841004184,0.3410041841004184,0.3410041841004184,900000,t5-large,tree depth,
88,11.0,4,0.34507205950720593,0.34507205950720593,0.34507205950720593,0.34507205950720593,900000,t5-large,tree depth,
89,12.0,5,0.3383310088331009,0.3383310088331009,0.3383310088331009,0.3383310088331009,900000,t5-large,tree depth,
90,13.0,6,0.3425151092515109,0.3425151092515109,0.3425151092515109,0.3425151092515109,900000,t5-large,tree depth,
91,14.0,0,0.3157833565783357,0.3157833565783357,0.3157833565783357,0.3157833565783357,800000,t5-large,tree depth,
92,15.0,1,0.32217573221757323,0.32217573221757323,0.32217573221757323,0.32217573221757323,800000,t5-large,tree depth,
93,16.0,2,0.3284518828451883,0.3284518828451883,0.3284518828451883,0.3284518828451883,800000,t5-large,tree depth,
94,17.0,3,0.33589028358902834,0.33589028358902834,0.33589028358902834,0.33589028358902834,800000,t5-large,tree depth,
95,18.0,4,0.3479776847977685,0.3479776847977685,0.3479776847977685,0.3479776847977685,800000,t5-large,tree depth,
96,19.0,5,0.3389121338912134,0.3389121338912134,0.3389121338912134,0.3389121338912134,800000,t5-large,tree depth,
97,20.0,6,0.34321245932124594,0.34321245932124594,0.34321245932124594,0.34321245932124594,800000,t5-large,tree depth,
98,21.0,0,0.31613203161320313,0.31613203161320313,0.31613203161320313,0.31613203161320313,700000,t5-large,tree depth,
99,22.0,1,0.3190376569037657,0.3190376569037657,0.3190376569037657,0.3190376569037657,700000,t5-large,tree depth,
100,23.0,2,0.32380288238028826,0.32380288238028826,0.32380288238028826,0.32380288238028826,700000,t5-large,tree depth,
101,24.0,3,0.33623895862389586,0.33623895862389586,0.33623895862389586,0.33623895862389586,700000,t5-large,tree depth,
102,25.0,4,0.34483960948396103,0.34483960948396103,0.34483960948396103,0.34483960948396103,700000,t5-large,tree depth,
103,26.0,5,0.344607159460716,0.344607159460716,0.344607159460716,0.344607159460716,700000,t5-large,tree depth,
104,27.0,6,0.3380985588098559,0.3380985588098559,0.3380985588098559,0.3380985588098559,700000,t5-large,tree depth,
105,28.0,0,0.31531845653184565,0.31531845653184565,0.31531845653184565,0.31531845653184565,600000,t5-large,tree depth,
106,29.0,1,0.31624825662482564,0.31624825662482564,0.31624825662482564,0.31624825662482564,600000,t5-large,tree depth,
107,30.0,2,0.3328684332868433,0.3328684332868433,0.3328684332868433,0.3328684332868433,600000,t5-large,tree depth,
108,31.0,3,0.3368200836820084,0.3368200836820084,0.3368200836820084,0.3368200836820084,600000,t5-large,tree depth,
109,32.0,4,0.34414225941422594,0.34414225941422594,0.34414225941422594,0.34414225941422594,600000,t5-large,tree depth,
110,33.0,5,0.34309623430962344,0.34309623430962344,0.34309623430962344,0.34309623430962344,600000,t5-large,tree depth,
111,34.0,6,0.3386796838679684,0.3386796838679684,0.3386796838679684,0.3386796838679684,600000,t5-large,tree depth,
112,35.0,0,0.3095072059507206,0.3095072059507206,0.3095072059507206,0.3095072059507206,500000,t5-large,tree depth,
113,36.0,1,0.31392375639237563,0.31392375639237563,0.31392375639237563,0.31392375639237563,500000,t5-large,tree depth,
114,37.0,2,0.32450023245002324,0.32450023245002324,0.32450023245002324,0.32450023245002324,500000,t5-large,tree depth,
115,38.0,3,0.3365876336587634,0.3365876336587634,0.3365876336587634,0.3365876336587634,500000,t5-large,tree depth,
116,39.0,4,0.3387959088795909,0.3387959088795909,0.3387959088795909,0.3387959088795909,500000,t5-large,tree depth,
117,40.0,5,0.3412366341236634,0.3412366341236634,0.3412366341236634,0.3412366341236634,500000,t5-large,tree depth,
118,41.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,500000,t5-large,tree depth,
119,42.0,0,0.31520223152022314,0.31520223152022314,0.31520223152022314,0.31520223152022314,400000,t5-large,tree depth,
120,43.0,1,0.3170618317061832,0.3170618317061832,0.3170618317061832,0.3170618317061832,400000,t5-large,tree depth,
121,44.0,2,0.32694095769409576,0.32694095769409576,0.32694095769409576,0.32694095769409576,400000,t5-large,tree depth,
122,45.0,3,0.3281032078103208,0.3281032078103208,0.3281032078103208,0.3281032078103208,400000,t5-large,tree depth,
123,46.0,4,0.3407717340771734,0.3407717340771734,0.3407717340771734,0.3407717340771734,400000,t5-large,tree depth,
124,47.0,5,0.3399581589958159,0.3399581589958159,0.3399581589958159,0.3399581589958159,400000,t5-large,tree depth,
125,48.0,6,0.3282194328219433,0.3282194328219433,0.3282194328219433,0.3282194328219433,400000,t5-large,tree depth,
126,49.0,0,0.3117154811715481,0.3117154811715481,0.3117154811715481,0.3117154811715481,300000,t5-large,tree depth,
127,50.0,1,0.31206415620641564,0.31206415620641564,0.31206415620641564,0.31206415620641564,300000,t5-large,tree depth,
128,51.0,2,0.3193863319386332,0.3193863319386332,0.3193863319386332,0.3193863319386332,300000,t5-large,tree depth,
129,52.0,3,0.3288005578800558,0.3288005578800558,0.3288005578800558,0.3288005578800558,300000,t5-large,tree depth,
130,53.0,4,0.3355416085541609,0.3355416085541609,0.3355416085541609,0.3355416085541609,300000,t5-large,tree depth,
131,54.0,5,0.33158995815899583,0.33158995815899583,0.33158995815899583,0.33158995815899583,300000,t5-large,tree depth,
132,55.0,6,0.3282194328219433,0.3282194328219433,0.3282194328219433,0.3282194328219433,300000,t5-large,tree depth,
133,56.0,0,0.3147373314737332,0.3147373314737332,0.3147373314737332,0.3147373314737332,200000,t5-large,tree depth,
134,57.0,1,0.3105532310553231,0.3105532310553231,0.3105532310553231,0.3105532310553231,200000,t5-large,tree depth,
135,58.0,2,0.31438865643886565,0.31438865643886565,0.31438865643886565,0.31438865643886565,200000,t5-large,tree depth,
136,59.0,3,0.3284518828451883,0.3284518828451883,0.3284518828451883,0.3284518828451883,200000,t5-large,tree depth,
137,60.0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,200000,t5-large,tree depth,
138,61.0,5,0.3365876336587634,0.3365876336587634,0.3365876336587634,0.3365876336587634,200000,t5-large,tree depth,
139,62.0,6,0.32670850767085075,0.32670850767085075,0.32670850767085075,0.32670850767085075,200000,t5-large,tree depth,
140,63.0,0,0.30497443049744305,0.30497443049744305,0.30497443049744305,0.30497443049744305,100000,t5-large,tree depth,
141,64.0,1,0.30462575546257553,0.30462575546257553,0.30462575546257553,0.30462575546257553,100000,t5-large,tree depth,
142,65.0,2,0.30857740585774057,0.30857740585774057,0.30857740585774057,0.30857740585774057,100000,t5-large,tree depth,
143,66.0,3,0.3052068805206881,0.3052068805206881,0.3052068805206881,0.3052068805206881,100000,t5-large,tree depth,
144,67.0,4,0.3107856810785681,0.3107856810785681,0.3107856810785681,0.3107856810785681,100000,t5-large,tree depth,
145,68.0,5,0.3097396559739656,0.3097396559739656,0.3097396559739656,0.3097396559739656,100000,t5-large,tree depth,
146,69.0,6,0.31287773128777313,0.31287773128777313,0.31287773128777313,0.31287773128777313,100000,t5-large,tree depth,
147,70.0,0,0.2885867038586704,0.2885867038586704,0.2885867038586704,0.2885867038586704,0,t5-large,tree depth,
148,71.0,1,0.2771966527196653,0.2771966527196653,0.2771966527196653,0.2771966527196653,0,t5-large,tree depth,
149,72.0,2,0.2778940027894003,0.2778940027894003,0.2778940027894003,0.2778940027894003,0,t5-large,tree depth,
150,73.0,3,0.2709205020920502,0.2709205020920502,0.2709205020920502,0.2709205020920502,0,t5-large,tree depth,
151,74.0,4,0.27138540213854023,0.27138540213854023,0.27138540213854023,0.27138540213854023,0,t5-large,tree depth,
152,75.0,5,0.2675499767549977,0.2675499767549977,0.2675499767549977,0.2675499767549977,0,t5-large,tree depth,
153,76.0,6,0.2702231520223152,0.2702231520223152,0.2702231520223152,0.2702231520223152,0,t5-large,tree depth,
154,0.0,0,0.7794821450484722,0.7968467304212975,0.7530532486565706,0.774331282180083,1000000,t5-large,subject number,
155,1.0,1,0.795557737145662,0.8064109035840484,0.7804103566194431,0.7931976166832175,1000000,t5-large,subject number,
156,2.0,2,0.803043318198552,0.8135550516502897,0.7887151929653151,0.8009425772045144,1000000,t5-large,subject number,
157,3.0,3,0.8067247515032521,0.8191031162908539,0.7896922325354176,0.8041288396965551,1000000,t5-large,subject number,
158,4.0,4,0.8248864891397718,0.8322950411163718,0.815828041035662,0.8239792771678798,1000000,t5-large,subject number,
159,5.0,5,0.8266044913486318,0.8333747823924397,0.8185148998534441,0.8258780036968577,1000000,t5-large,subject number,
160,6.0,6,0.8267272057921218,0.8324243926623699,0.8202247191011236,0.8262795275590552,1000000,t5-large,subject number,
161,7.0,0,0.7760461406307523,0.7942931258106355,0.7479237909135319,0.7704113724996854,900000,t5-large,subject number,
162,8.0,1,0.7900355871886121,0.8009598383430159,0.7745481191988276,0.7875325965478703,900000,t5-large,subject number,
163,9.0,2,0.795925880476132,0.8079554091715226,0.7789447972642892,0.7931849272478547,900000,t5-large,subject number,
164,10.0,3,0.8066020370597621,0.8172883064516129,0.7921348314606742,0.8045150086827091,900000,t5-large,subject number,
165,11.0,4,0.8288133513314517,0.8311656441717792,0.8273082559843674,0.8292324641939038,900000,t5-large,subject number,
166,12.0,5,0.8293042091054117,0.8341161928306551,0.8241328773815342,0.8290944833517631,900000,t5-large,subject number,
167,13.0,6,0.8288133513314517,0.8334568816407215,0.8238886174890083,0.8286451295909594,900000,t5-large,subject number,
168,14.0,0,0.7785004295005522,0.7987470634299139,0.7474352711284807,0.7722397476340693,800000,t5-large,subject number,
169,15.0,1,0.7812001472573322,0.7943949044585987,0.7616023448949683,0.7776530739493703,800000,t5-large,subject number,
170,16.0,2,0.796784881580562,0.8112870275791624,0.7760136785539814,0.7932584269662921,800000,t5-large,subject number,
171,17.0,3,0.8040250337464719,0.8166370783667258,0.7865168539325843,0.8012940151797935,800000,t5-large,subject number,
172,18.0,4,0.8258682046876917,0.83213310156444,0.8185148998534441,0.8252678241595862,800000,t5-large,subject number,
173,19.0,5,0.8311449257577617,0.8365527488855871,0.8251099169516365,0.8307919331037875,800000,t5-large,subject number,
174,20.0,6,0.8291814946619217,0.8322675848499754,0.8265754763067904,0.8294117647058823,800000,t5-large,subject number,
175,21.0,0,0.7756779973002822,0.7938278008298755,0.7476795310210064,0.770062893081761,700000,t5-large,subject number,
176,22.0,1,0.7843907227880722,0.7971014492753623,0.7657547630679042,0.7811137411237075,700000,t5-large,subject number,
177,23.0,2,0.7960485949196221,0.8044566850275413,0.7848070346849048,0.7945103857566765,700000,t5-large,subject number,
178,24.0,3,0.8058657503988219,0.8135297054418372,0.7960429897410846,0.8046913580246913,700000,t5-large,subject number,
